candidate_id,name,party,municipality,priority_number,priority_title,priority_description,priority_full_text
5710,Christina Sylvest-Noer,A,Frederiksberg Kommune,2,Børn og unges trivsel,"Vi skal sikre et godt børne- og ungeliv. I skole, SFO og klubber skal børn og unge mødes med tryghed, ro og læring, med nok lærere og pædagoger, så de kan lege, udfordre sig selv og være sammen med andre. Når børn og unge trives, vokser mod, glæde og fællesskab frem.","Børn og unges trivsel : Vi skal sikre et godt børne- og ungeliv. I skole, SFO og klubber skal børn og unge mødes med tryghed, ro og læring, med nok lærere og pædagoger, så de kan lege, udfordre sig selv og være sammen med andre. Når børn og unge trives, vokser mod, glæde og fællesskab frem."
5710,Christina Sylvest-Noer,A,Frederiksberg Kommune,3,En blandet by,"Frederiksberg skal forblive grøn med parker, træer og hyggelige byrum, samtidig med at der er plads til boliger der kan betales med enhver pengepung. Børn skal kunne flytte hjemmefra i byen, og familier i opbrud skal kunne blive. Så bliver Frederiksberg levende, inkluderende og et sted, hvor alle kan trives.","En blandet by : Frederiksberg skal forblive grøn med parker, træer og hyggelige byrum, samtidig med at der er plads til boliger der kan betales med enhver pengepung. Børn skal kunne flytte hjemmefra i byen, og familier i opbrud skal kunne blive. Så bliver Frederiksberg levende, inkluderende og et sted, hvor alle kan trives."
5729,Thomas Frank,A,Frederiksberg Kommune,1,Alle børn og unge skal med,"Jeg kæmper for bedre vilkår for udsatte familier, de skal have den hjælp de har brug for, så vi ikke taber den næste generation på gulvet.  

Vi skal styrke erhvervsuddannelser og forbedre vilkårene for faglærte, så alle unge får de bedste muligheder i samfundet. 

Vi skal investere i skoler, uddannelser og gode sportsfaciliteter.","Alle børn og unge skal med : Jeg kæmper for bedre vilkår for udsatte familier, de skal have den hjælp de har brug for, så vi ikke taber den næste generation på gulvet.  

Vi skal styrke erhvervsuddannelser og forbedre vilkårene for faglærte, så alle unge får de bedste muligheder i samfundet. 

Vi skal investere i skoler, uddannelser og gode sportsfaciliteter."
5729,Thomas Frank,A,Frederiksberg Kommune,2,Langtidsholdbart arbejdsmiljø,"Vi skal styrke faglig organisering, holde fast i den danske model og bekæmpe social dumping.   

Vi skal skabe trygge arbejdsforhold, ved at indføre tydelige arbejdsklausuler og sikre tillidsfolk adgang til byggepladserne. Alle har ret til et langtidsholdbart arbejdsliv. 

Samtidig skal ældre og sårbare have mulighed for en værdig tilbagetrækning.","Langtidsholdbart arbejdsmiljø : Vi skal styrke faglig organisering, holde fast i den danske model og bekæmpe social dumping.   

Vi skal skabe trygge arbejdsforhold, ved at indføre tydelige arbejdsklausuler og sikre tillidsfolk adgang til byggepladserne. Alle har ret til et langtidsholdbart arbejdsliv. 

Samtidig skal ældre og sårbare have mulighed for en værdig tilbagetrækning."
5729,Thomas Frank,A,Frederiksberg Kommune,3,Værdigt seniorliv,"Vi skal sikre os at de ældre, også dem uden en stor pensionsopsparing, er sikret tryghed og værdigt seniorliv. Vi skal investere i gode ældrebofællesskaber, forbedre hjælpetilbud og skabe socialt fællesskab, så de ældre ikke bliver ensomme. Der skal være overskud til den nødvendige omsorg.","Værdigt seniorliv : Vi skal sikre os at de ældre, også dem uden en stor pensionsopsparing, er sikret tryghed og værdigt seniorliv. Vi skal investere i gode ældrebofællesskaber, forbedre hjælpetilbud og skabe socialt fællesskab, så de ældre ikke bliver ensomme. Der skal være overskud til den nødvendige omsorg."
5726,Sofie Kümpel,A,Frederiksberg Kommune,1,Grøn og levende by for alle,"Frederiksberg må ikke blive en by kun for de rigeste. Derfor skal vi arbejde for billige boliger. Vi skal passe på bynaturen og have mere af den. Vi skal ligeledes passe på og støtte op om vores kultur, såsom teatre, bibliotekerne og vores fritidstilbud.","Grøn og levende by for alle : Frederiksberg må ikke blive en by kun for de rigeste. Derfor skal vi arbejde for billige boliger. Vi skal passe på bynaturen og have mere af den. Vi skal ligeledes passe på og støtte op om vores kultur, såsom teatre, bibliotekerne og vores fritidstilbud."
5726,Sofie Kümpel,A,Frederiksberg Kommune,2,Styrket folkeskole,"Frederiksbergs børn og unge fortjener den bedst mulige læring og trivsel. Jeg vil arbejde for flere ressourcer i klasserne, styrkelse af fritidstilbuddene efter skole, hurtigere og bedre hjælp til ordblinde elever, bedre ventilation i klasselokaler og skolemad.","Styrket folkeskole : Frederiksbergs børn og unge fortjener den bedst mulige læring og trivsel. Jeg vil arbejde for flere ressourcer i klasserne, styrkelse af fritidstilbuddene efter skole, hurtigere og bedre hjælp til ordblinde elever, bedre ventilation i klasselokaler og skolemad."
5726,Sofie Kümpel,A,Frederiksberg Kommune,3,Omsorg for udsatte,"Vi skal fortsat investere i socialområdet, så vi kan tage endnu bedre hånd om udsatte børn og unge, borgere med handicap og hjemløse. Vi skal sikre nok trygge og dygtige plejefamilier og at vores byrum er tilgængelige for alle, og så skal vi sikre at hjælpen er tæt på, når man er mest udsat.","Omsorg for udsatte : Vi skal fortsat investere i socialområdet, så vi kan tage endnu bedre hånd om udsatte børn og unge, borgere med handicap og hjemløse. Vi skal sikre nok trygge og dygtige plejefamilier og at vores byrum er tilgængelige for alle, og så skal vi sikre at hjælpen er tæt på, når man er mest udsat."
5716,Kristoffer Appel,A,Frederiksberg Kommune,1,"Kultur, idræt og foreningsliv gør os stærke","Jeg arbejde for:
- At rykke folk fra ventelister til holdlister.
- Flere grønne områder og aktivitetspladser,
hvor du kan dyrke motion – uanset alder.
- At idræt, musik og fritidsaktiviteter er økonomisk
tilgængelige for alle.","Kultur, idræt og foreningsliv gør os stærke : Jeg arbejde for:
- At rykke folk fra ventelister til holdlister.
- Flere grønne områder og aktivitetspladser,
hvor du kan dyrke motion – uanset alder.
- At idræt, musik og fritidsaktiviteter er økonomisk
tilgængelige for alle."
5716,Kristoffer Appel,A,Frederiksberg Kommune,2,Gør byen grønnere,"Vi skal have mere bynatur, flere grønne kvadratmeter, mere biodiversitet og flere træer. Det skal vi forpligtes til og måles på hvert år.","Gør byen grønnere : Vi skal have mere bynatur, flere grønne kvadratmeter, mere biodiversitet og flere træer. Det skal vi forpligtes til og måles på hvert år."
5716,Kristoffer Appel,A,Frederiksberg Kommune,3,LGBT+,"Frederiksberg har en stolt historie som en by, hvor regnbuen hører hjemme. Her starter Pride-paraden, her ligger Cafe Intime, og vi var blandt de første kommuner i Danmark til at hjælpe ofre for AIDS-epidemien i 1980'erne.

Men flere steder i verden bliver rettigheder for LGBT+personer blive rullet tilbage. Det sker i USA, men også i Europa. Sådan skal det ikke være på Frederiksberg.","LGBT+ : Frederiksberg har en stolt historie som en by, hvor regnbuen hører hjemme. Her starter Pride-paraden, her ligger Cafe Intime, og vi var blandt de første kommuner i Danmark til at hjælpe ofre for AIDS-epidemien i 1980'erne.

Men flere steder i verden bliver rettigheder for LGBT+personer blive rullet tilbage. Det sker i USA, men også i Europa. Sådan skal det ikke være på Frederiksberg."
5714,Kim Christiansen,A,Frederiksberg Kommune,1,Tryghed i hele byen,"Vi ska kunne færdes trygt og sikkert på Frederiksberg. Jeg vil forbedre ""Giv os et praj"", så borgere kan tippe om utrygge steder, så indsatsen rettes mod de områder og skoleveje, hvor der er mest behov.","Tryghed i hele byen : Vi ska kunne færdes trygt og sikkert på Frederiksberg. Jeg vil forbedre ""Giv os et praj"", så borgere kan tippe om utrygge steder, så indsatsen rettes mod de områder og skoleveje, hvor der er mest behov."
5714,Kim Christiansen,A,Frederiksberg Kommune,2,Trafikundervisning i skolerne,Vores børn skal lære at færdes sikkert i trafikken. Jeg vil derfor arbejde for at bevare og styrke trafikundervisningen i folkeskolen fra første klasse til afgangsklasserne.,Trafikundervisning i skolerne : Vores børn skal lære at færdes sikkert i trafikken. Jeg vil derfor arbejde for at bevare og styrke trafikundervisningen i folkeskolen fra første klasse til afgangsklasserne.
5714,Kim Christiansen,A,Frederiksberg Kommune,3,Forebyggelse for børn og unge,"Flere sunde fællesskaber og målrettet forebyggelse skal sikre, at udsatte børn og unge får bedre muligheder og undgår kriminalitet og mistrivsel","Forebyggelse for børn og unge : Flere sunde fællesskaber og målrettet forebyggelse skal sikre, at udsatte børn og unge får bedre muligheder og undgår kriminalitet og mistrivsel"
5723,Rasmus Edelberg,A,Frederiksberg Kommune,1,Tryghed og Velfærd,"Tryghed og velfærd handler blandt andet om Sundhed, Grønt Miljø og Skoler med ro i klassen. 
Vi skal gøre mere for børn og unges trivsel, særligt styrket samarbejde med psykiatrien og i skole-hjem samarbejdet, og investere i kvalitet i børnenes hverdag. 
Ordentlig Velfærd kræver en sund økonomi, og derfor øgede vi skatten for at sikre det - og nu sænker vi den, fordi der er styr på økonomien igen!","Tryghed og Velfærd : Tryghed og velfærd handler blandt andet om Sundhed, Grønt Miljø og Skoler med ro i klassen. 
Vi skal gøre mere for børn og unges trivsel, særligt styrket samarbejde med psykiatrien og i skole-hjem samarbejdet, og investere i kvalitet i børnenes hverdag. 
Ordentlig Velfærd kræver en sund økonomi, og derfor øgede vi skatten for at sikre det - og nu sænker vi den, fordi der er styr på økonomien igen!"
5723,Rasmus Edelberg,A,Frederiksberg Kommune,2,Omsorg for Frivillige Fællesskaber,"Byudvikling skal favne fællesskaber og grønne åndehuller. Så når der bygges boliger bør en del af dem være almene så også enlige, unge og ældre med almindelige indkomster kan bo her. Rammerne skal være i orden og fyldes godt ud. Vi bør derfor støtte frivillige indsatser for psykisk sundhed, miljø, spejder og sport; samt kunst, musik og det dejlige byliv på Frederiksberg.","Omsorg for Frivillige Fællesskaber : Byudvikling skal favne fællesskaber og grønne åndehuller. Så når der bygges boliger bør en del af dem være almene så også enlige, unge og ældre med almindelige indkomster kan bo her. Rammerne skal være i orden og fyldes godt ud. Vi bør derfor støtte frivillige indsatser for psykisk sundhed, miljø, spejder og sport; samt kunst, musik og det dejlige byliv på Frederiksberg."
5723,Rasmus Edelberg,A,Frederiksberg Kommune,3,Børn og Unge,"Gode fritidsaktiviteter forebygger mistrivsel, styrker fællesskaber og skaber tryghed. Mere af det! Jeg vil prioritere dagtilbud, folkeskole, lokale ungdomsklubber og SFO, idrætsfaciliteter og mangfoldige kulturtilbud til unge, der skal møde kvalificerede voksne, der har tid til leg og fællesskab.","Børn og Unge : Gode fritidsaktiviteter forebygger mistrivsel, styrker fællesskaber og skaber tryghed. Mere af det! Jeg vil prioritere dagtilbud, folkeskole, lokale ungdomsklubber og SFO, idrætsfaciliteter og mangfoldige kulturtilbud til unge, der skal møde kvalificerede voksne, der har tid til leg og fællesskab."
5709,Britt Dam,A,Frederiksberg Kommune,1,Grønne og sunde bygninger for børn og voksne,"Vi skal tænke klima og velfærd sammen. Indeklimaet i kommunale bygninger skal forbedres – for børns læring, trivsel og voksnes arbejdsmiljø. Energirenoveringer forbedrer indeklimaet, sænker udledninger, sparer energi og frigiver penge til velfærd. Samtidig skal vi have solceller på kommunale tage. Det er effektiv klimapolitik, der skaber bedre rammer for alle.","Grønne og sunde bygninger for børn og voksne : Vi skal tænke klima og velfærd sammen. Indeklimaet i kommunale bygninger skal forbedres – for børns læring, trivsel og voksnes arbejdsmiljø. Energirenoveringer forbedrer indeklimaet, sænker udledninger, sparer energi og frigiver penge til velfærd. Samtidig skal vi have solceller på kommunale tage. Det er effektiv klimapolitik, der skaber bedre rammer for alle."
5709,Britt Dam,A,Frederiksberg Kommune,2,"En gribende hånd, når livet ændrer sig","Når livet forandrer sig, skal fællesskabet gribe os – ikke være noget, vi skal jagte. Måske står vi pludselig alene med et barn, i noget vi troede, vi skulle være to om – eller mister en partner senere i livet. Frederiksberg skal tilbyde støtte og fællesskab, der følger med livets faser – uanset alder og livsform.","En gribende hånd, når livet ændrer sig : Når livet forandrer sig, skal fællesskabet gribe os – ikke være noget, vi skal jagte. Måske står vi pludselig alene med et barn, i noget vi troede, vi skulle være to om – eller mister en partner senere i livet. Frederiksberg skal tilbyde støtte og fællesskab, der følger med livets faser – uanset alder og livsform."
5709,Britt Dam,A,Frederiksberg Kommune,3,Flere bofællesskaber - for trivsel og klima,"Unge mennesker skal have råd til at bo på Frederiksberg, og familier må ikke presses ud. Moderne bofællesskaber sikrer billigere boliger til flere, gør hverdagen lettere og modvirker ensomhed. Når vi deler mere, sparer penge, plads og ressourcer – og det gavner både mennesker og klimaet. Vi bor tæt – men vi kan komme hinanden nærmere.","Flere bofællesskaber - for trivsel og klima : Unge mennesker skal have råd til at bo på Frederiksberg, og familier må ikke presses ud. Moderne bofællesskaber sikrer billigere boliger til flere, gør hverdagen lettere og modvirker ensomhed. Når vi deler mere, sparer penge, plads og ressourcer – og det gavner både mennesker og klimaet. Vi bor tæt – men vi kan komme hinanden nærmere."
5708,Bjarne Henriksen,A,Frederiksberg Kommune,1,Kampen mod ensomheden,"Det betyder, at der skal være muligheder for, at mennesker kan mødes og være sammen. Fx. kunne jeg tænke mig, at vi på Hospitalsgrunden fik vores Frederiksberg-udgave af medborgerhuset Absalon.","Kampen mod ensomheden : Det betyder, at der skal være muligheder for, at mennesker kan mødes og være sammen. Fx. kunne jeg tænke mig, at vi på Hospitalsgrunden fik vores Frederiksberg-udgave af medborgerhuset Absalon."
5708,Bjarne Henriksen,A,Frederiksberg Kommune,2,En blandet by,Det betyder at vi skal bevare flest mulige boliger med en rimelig husleje som fx i Frederiksberg Boligfond. Og ved nybyggeri skal vi sikre at der bliver bygget almene boliger. En blandet by betyder også et lokalt handelsliv med specialforretninger.,En blandet by : Det betyder at vi skal bevare flest mulige boliger med en rimelig husleje som fx i Frederiksberg Boligfond. Og ved nybyggeri skal vi sikre at der bliver bygget almene boliger. En blandet by betyder også et lokalt handelsliv med specialforretninger.
5708,Bjarne Henriksen,A,Frederiksberg Kommune,3,Sæt kulturen først,"Det betyder at vi skal bevare bibliotekerne og medborgerhusene i kommunen. Kultur for mig er både teater og film, hvor jeg har tilbragt det meste af mit liv. Men kultur er også foreningsliv, musik og fx sport. Frederiksberg er kendt for at være en teaterby og det synes jeg, fortsat at den skal være. Så meget kultur som muligt.","Sæt kulturen først : Det betyder at vi skal bevare bibliotekerne og medborgerhusene i kommunen. Kultur for mig er både teater og film, hvor jeg har tilbragt det meste af mit liv. Men kultur er også foreningsliv, musik og fx sport. Frederiksberg er kendt for at være en teaterby og det synes jeg, fortsat at den skal være. Så meget kultur som muligt."
5728,Susanne Nørlund Munk,A,Frederiksberg Kommune,1,DANMARKS BEDSTE STED AT VOKSE OP,"Det skal være cool at være en god ven og bidrage til fællesskabet. Vi skal turde tale om forældreskab, ansvar og dannelse – og give de unge plads og lov til at sænke skuldrene. Mere bevægelse og flere mulig­heder i fritiden. Fællesskab og støtte er vigtigt for os alle også for vores ældre!","DANMARKS BEDSTE STED AT VOKSE OP : Det skal være cool at være en god ven og bidrage til fællesskabet. Vi skal turde tale om forældreskab, ansvar og dannelse – og give de unge plads og lov til at sænke skuldrene. Mere bevægelse og flere mulig­heder i fritiden. Fællesskab og støtte er vigtigt for os alle også for vores ældre!"
5728,Susanne Nørlund Munk,A,Frederiksberg Kommune,2,LOKAL TRYGHED I EN USIKKER TID,"Frederiksberg skal være rustet til fremtiden – fra klimahændelser og pandemier til cyberangreb og samfundskriser. Vi skal som kommune sikre, at også skolerne er rustet til at håndtere kriser. Tryghed er også det gode nabo­skab. Når vi kender hinanden, passer vi på hinanden. På Frederiksberg passer vi på børn og ældre!","LOKAL TRYGHED I EN USIKKER TID : Frederiksberg skal være rustet til fremtiden – fra klimahændelser og pandemier til cyberangreb og samfundskriser. Vi skal som kommune sikre, at også skolerne er rustet til at håndtere kriser. Tryghed er også det gode nabo­skab. Når vi kender hinanden, passer vi på hinanden. På Frederiksberg passer vi på børn og ældre!"
5728,Susanne Nørlund Munk,A,Frederiksberg Kommune,3,BRUG VORES FÆLLES KVADRATMETER KLOGT,På Frederiksberg bor vi tæt – derfor skal vi bruge vores fælles kvadratmeter aktivt og klogt. Vi skal åbne skoler og institutioner efter skoletid – og fritidsanlæg i skole­tiden. Vores fritidsliv skal være tæt på og tilbyde noget for alle. Både for børn og ældre. Og det skal være nemt og trygt at komme frem – og hjem igen – uanset alder.,BRUG VORES FÆLLES KVADRATMETER KLOGT : På Frederiksberg bor vi tæt – derfor skal vi bruge vores fælles kvadratmeter aktivt og klogt. Vi skal åbne skoler og institutioner efter skoletid – og fritidsanlæg i skole­tiden. Vores fritidsliv skal være tæt på og tilbyde noget for alle. Både for børn og ældre. Og det skal være nemt og trygt at komme frem – og hjem igen – uanset alder.
5713,Janek Balling Majewicz,A,Frederiksberg Kommune,1,Et trygt Frederiksberg,"Frederiksberg er vores by og hjem, og det skal være et trygt og rart sted at bo!
Tryghed er vigtig og fundamentalt for en positiv og god trivsel. Vi skal styrke fællesskaberne og skabe en by sammen, hvor vi passer på hinanden. Jeg vil derfor arbejder for et trygt Frederiksberg og flere tryghedsskabende indsatser og tiltag i det offentlige rum.","Et trygt Frederiksberg : Frederiksberg er vores by og hjem, og det skal være et trygt og rart sted at bo!
Tryghed er vigtig og fundamentalt for en positiv og god trivsel. Vi skal styrke fællesskaberne og skabe en by sammen, hvor vi passer på hinanden. Jeg vil derfor arbejder for et trygt Frederiksberg og flere tryghedsskabende indsatser og tiltag i det offentlige rum."
5713,Janek Balling Majewicz,A,Frederiksberg Kommune,2,Betalbare boliger – et Frederiksberg for alle,"Vi skal bevare Frederiksberg som en blandede by, med plads til alle.
Jeg vil arbejde for flere billige boliger, så både unge, familier og folk med almindelige indkomster kan bo på Frederiksberg. 

Som formand i min egen ejendom, var jeg med til at stoppe Blackstones opkøb af 3. ejendomme, som var tiltænkt som betalbare boliger af fremsynede politikere i 1932. Det skal vi forsat værne om, og kæmpe","Betalbare boliger – et Frederiksberg for alle : Vi skal bevare Frederiksberg som en blandede by, med plads til alle.
Jeg vil arbejde for flere billige boliger, så både unge, familier og folk med almindelige indkomster kan bo på Frederiksberg. 

Som formand i min egen ejendom, var jeg med til at stoppe Blackstones opkøb af 3. ejendomme, som var tiltænkt som betalbare boliger af fremsynede politikere i 1932. Det skal vi forsat værne om, og kæmpe"
5713,Janek Balling Majewicz,A,Frederiksberg Kommune,3,Et godt og sundt børne - og ungeliv,"Alle børn og unge - uanset social baggrund eller livssituation - skal have mulighed for at blive en del af foreningslivet og positive fællesskaber. Det skaber trivsel, tryghed og stærke fremtidsmuligheder. Vi har et fælles ansvar for at inkludere børn og unge med diagnoser eller som er præget af ensomhed, i positive fællesskaber. Vores børn, er vores fremtid!","Et godt og sundt børne - og ungeliv :  Alle børn og unge - uanset social baggrund eller livssituation - skal have mulighed for at blive en del af foreningslivet og positive fællesskaber. Det skaber trivsel, tryghed og stærke fremtidsmuligheder. Vi har et fælles ansvar for at inkludere børn og unge med diagnoser eller som er præget af ensomhed, i positive fællesskaber. Vores børn, er vores fremtid!"
5730,Vibeke Westh,A,Frederiksberg Kommune,1,Et nært og sammenhængende sundhedsvæsen for alle,"Når du bliver syg, skal hjælpen ikke føles langt væk. Vi skal styrke de nære sundhedstilbud og sikre bedre samarbejde mellem hospital, kommune og egen læge. Sundhedsvæsenet skal hænge sammen, så alle får hjælp i tide og trygheden vender tilbage i hverdagen. Det handler om nærhed, omsorg og kvalitet, når livet gør allermest ondt.","Et nært og sammenhængende sundhedsvæsen for alle : Når du bliver syg, skal hjælpen ikke føles langt væk. Vi skal styrke de nære sundhedstilbud og sikre bedre samarbejde mellem hospital, kommune og egen læge. Sundhedsvæsenet skal hænge sammen, så alle får hjælp i tide og trygheden vender tilbage i hverdagen. Det handler om nærhed, omsorg og kvalitet, når livet gør allermest ondt."
5730,Vibeke Westh,A,Frederiksberg Kommune,2,Lige adgang til sundhed,"Sundhed må aldrig afhænge af, om du er kvinde, mand eller har en anden kønsidentitet, hvor du bor, din alder eller hvilken baggrund du har. Alle skal have samme muligheder for et godt og sundt liv. Derfor skal vi investere i forebyggelse, tidlig indsats og målrettede tilbud – så ingen bliver overset, og alle får den hjælp, de har brug for.","Lige adgang til sundhed : Sundhed må aldrig afhænge af, om du er kvinde, mand eller har en anden kønsidentitet, hvor du bor, din alder eller hvilken baggrund du har. Alle skal have samme muligheder for et godt og sundt liv. Derfor skal vi investere i forebyggelse, tidlig indsats og målrettede tilbud – så ingen bliver overset, og alle får den hjælp, de har brug for."
5730,Vibeke Westh,A,Frederiksberg Kommune,3,Bedre vilkår for sundhedspersonalet,"Vi skal passe på dem, der passer på os. Uden ordentlige vilkår, tid til kerneopgaven og mulighed for udvikling risikerer vi at miste dygtige medarbejdere. Når personalet trives og bliver anerkendt, får vi et sundhedsvæsen, hvor både nærvær og kvalitet er i fokus. Et stærkt sundhedsvæsen begynder med mennesker, der får lov til at lykkes.","Bedre vilkår for sundhedspersonalet : Vi skal passe på dem, der passer på os. Uden ordentlige vilkår, tid til kerneopgaven og mulighed for udvikling risikerer vi at miste dygtige medarbejdere. Når personalet trives og bliver anerkendt, får vi et sundhedsvæsen, hvor både nærvær og kvalitet er i fokus. Et stærkt sundhedsvæsen begynder med mennesker, der får lov til at lykkes."
5727,Søren Dahlstrøm,A,Frederiksberg Kommune,1,,,"/19 | økonomi | Frederiksberg Kommune Flere opgaver i den offentlige sektor skal fremover løses af private virksomheder Uenig Sørens svar Enig ""Det er kommunen der bedst løser velfærdsopgaver, og ikke private virksomheder. Skattepenge skal gå til velfærd - ikke virksomhedsejere."" - Søren Dahlstrøm"
5727,Søren Dahlstrøm,A,Frederiksberg Kommune,2,,,"/19 | social & velfærd | Frederiksberg Kommune Offentlige institutioner tager for mange hensyn til religiøse minoriteter, for eksempel ved at tilbyde måltider uden svinekød Uenig Sørens svar Enig"
